context,question
"Binary Trees – Overview A binary tree is an ordered tree where each node
has at most two children.",A binary tree is an ordered tree where each node has at most two children.
"These children are called the left child and
the right child.",What are the names of the two children?
"Possible Representations A binary tree can be represented in several
ways.",A binary tree can be represented in several ways. Which of the following is not a way to represent a binary tree?
One representation uses an array.,Which of the following is not a type of representation?
"The first array position contains the
root.",The first array position contains the root. What does it mean?
The left child of index i is at position 2 * i.,The left child of index i is at what position?
"The right child is
at position 2 * i + 1.",The right child is at position 2 * i + 1.
Empty positions use a special placeholder.,Empty positions use a special placeholder for what?
"Each node stores
information and pointers to its left and right children.",Each node stores information and pointers to its left and right children. Which of the following is not a node?
"The root
pointer is NIL when the tree is empty.","When a tree is empty, the root pointer is what?"
A third representation stores child indices in arrays.,A third representation stores child indices in what?
"A linked list of
empty positions is maintained to simplify node allocation.",A linked list of empty positions is maintained to simplify which of the following?
"Binary Tree Traversal Tree traversal refers to visiting all nodes in a
tree.",Tree traversal refers to visiting all nodes in a tree.
There are four main traversal types.,Which of the following is not a type of traversal?
"These types are preorder,
inorder, postorder, and level-order traversal.","Which of the following is not a type of traversal: preorder, inorder, postorder, or level-order?"
"Tree Representation Model A tree node stores its element and pointers to
its left and right children.",Tree Representation Model A tree node stores its element and pointers to its left and right children.
"The tree structure stores only a pointer to
the root.",What is the pointer to the root of a tree?
Preorder Traversal Preorder traversal visits the root first.,What does preorder traversal visit first?
"It then
traverses the left subtree and finally the right subtree.",What does it mean to traverse the left subtree and finally the right subtree?
"A
non-recursive version uses a stack and pushes the right child before the
left child.",A non-recursive version uses a stack and pushes the right child before the left child.
"Inorder Traversal In inorder traversal, the algorithm explores the left
subtree first.","In inorder traversal, the algorithm explores the left subtree first."
"An inorder traversal of a binary search tree produces sorted
output.",An inorder traversal of a binary search tree produces what kind of output?
"Postorder Traversal Postorder traversal processes the left subtree
first.",Postorder traversal processes the left subtree first. What does postorder traversal process?
Non-recursive versions use either one or two stacks.,Non-recursive versions use either one or two stacks.
"Level-Order Traversal Level-order traversal visits nodes by levels from
top to bottom.",Level-order traversal visits nodes by levels from top to bottom.
It uses a queue to manage the order of visits.,What does it use to manage the order of visits?
Binary Tree Iterators Iterators visit tree elements one at a time.,What do binary tree iterators visit one at a time?
Remembering Traversal Orders Preorder visits the root first.,"Which of the following is not a preorder: root, traversal, or preorder?"
"Inorder
visits the root between the left and right subtrees.",Inorder visits the root between the left and right subtrees. Which of the following is not a type of tree?
"Reconstructing a Tree from Traversal Orders A tree can be reconstructed
when preorder and inorder traversals are known.",A tree can be reconstructed when preorder and inorder traversals are known.
"It can also be
reconstructed when postorder and inorder traversals are known.",What can be reconstructed when postorder and inorder traversals are known?
"Preorder
and postorder alone do not uniquely identify a tree.",Preorder and postorder alone do not uniquely identify what?
"Binary Search Trees A binary search tree is a binary tree with ordering
rules.",A binary search tree is a binary tree with ordering rules. Which of the following is not a binary tree?
"Values in the left subtree are less than or equal to the node’s
value.",What are the values in the left subtree less than or equal to the node’s value?
Values in the right subtree are greater.,Values in the right subtree are greater than values in the left subtree.
"An inorder traversal of
a binary search tree produces sorted values.",An inorder traversal of a binary search tree produces what kind of values?
"Binary Search Tree Representation A binary search tree node stores the
element and pointers to its children.",A binary search tree node stores the element and pointers to its children. Which of the following is not a binary search tree node?
"The tree itself stores only a
pointer to the root.",The pointer to the root of a tree is what?
Searching in a Binary Search Tree A search begins at the root.,A search begins at the root of a tree.
"If the
element equals the node’s value, the search succeeds.","If the element equals the node’s value, the search succeeds."
"If it is greater,
the algorithm continues in the right subtree.","If it is greater, the algorithm continues in which right subtree?"
"If it is smaller, it
continues in the left subtree.","If it is smaller, it continues in the left subtree."
"Search operations may be recursive or
non-recursive.",Search operations may be recursive or non-recursive. Which of the following is an example of a non-recursive operation?
"Inserting into a Binary Search Tree The insert operation places a new
value according to the ordering rule.",Inserting into a binary search tree places a new value according to the following rule:
"If the target location is empty, a
new node is created.","If the target location is empty, a new what is created?"
"If the value is less than or equal to the current
node, insertion continues in the left subtree.","If the value is less than or equal to the current node, insertion continues in the left subtree."
"Finding Minimum or Maximum To find the minimum, the algorithm repeatedly
follows left child pointers.","Which of the following is not a pointer: it, algorithm, or minimum?"
"To find the maximum, it repeatedly follows
right child pointers.","To find the maximum, it repeatedly follows right child pointers. Which of the following is not a type of pointer?"
"Finding the Parent of a Node If parent pointers are not stored, the
parent can be found by searching from the root.","If parent pointers are not stored, the parent can be found by searching from which node?"
"The algorithm tracks the
last node that leads to the target.",The algorithm tracks the last node that leads to what?
"Finding the Successor The successor of a node is the next value in
sorted order.",The successor of a node is the next what in sorted order?
"If the node has a right subtree, the successor is the
minimum value of that subtree.","If a node has a right subtree, what is the minimum value of that subtree?"
"If not, the successor is the lowest
ancestor encountered by moving upward along left-child edges.",What is the lowest ancestor encountered by moving upward along left-child edges?
"Without
parent pointers, the algorithm performs one traversal from the root and
tracks the last ancestor with a greater value.","Without parent pointers, what algorithm performs one traversal from the root and tracks the last ancestor with a greater value?"
Removing a Node Node removal depends on the number of children.,Removal of a node depends on the number of what?
"If the
node has no children, it is removed directly.","If the node has no children, what is removed directly?"
"If the node has one child,
it is replaced by that child.","If the node has one child, what is replaced by that child?"
"After replacement, the chosen node
is removed separately.","After replacement, the chosen node is removed separately. Which of the following is not a type of node?"
"Maintaining Positional Information A binary search tree can support
position-based operations when each node stores the number of nodes in
its left subtree.",A binary search tree can support position-based operations when each node stores the number of nodes in its left subtree.
"Binary Search Trees with Duplicate Values Duplicate values follow the
“less than or equal to” rule and may appear in left subtrees.",Duplicate values follow the “less than or equal to” rule and may appear in left subtrees of which tree?
"Counting
duplicates can be done by traversing the tree and counting all matching
nodes.",Counting duplicates can be done by traversing the tree and counting all matching what?
